Address,Census Code,Geo ID,Tract,Population,Median Income,Per Capita,Under Poverty,Employed
4896-4898 NORTHWEST 48 PLACE,120010018113015,12001001811,001811,6890,38813,1697,46540,5761
2838 NW 6TH STREET,120010003023025,12001000302,000302,2343,24292,414,25223,1967
3553 SOUTHWEST 39 BOULEVARD,120010015191006,12001001519,001519,2877,10892,225,12055,2801
3301 NW 6TH ST,120010022071007,12001002207,002207,3635,45482,1012,44465,2983
2033 NORTHEAST 9 TERRACE,120010004003014,12001000400,000400,6655,23015,1246,18756,4711
1050 SE 23RD AVE,120010003023030,12001000302,000302,2343,24292,414,25223,1967
104 S MAIN ST,120010005001059,12001000500,000500,5171,24516,872,30253,4560
1107 NE 2ND ST,120010005003011,12001000500,000500,5171,24516,872,30253,4560
1250 NW 4TH AVE,120010002003012,12001000200,000200,6671,7174,282,11678,6534
4039-4045 SW 17TH AVE,120010015201007,12001001520,001520,2281,11997,151,10068,2238
1506 NE 7TH ST,120010005003004,12001000500,000500,5171,24516,872,30253,4560
511 NW 15TH ST,120010010004031,12001001000,001000,5596,16646,783,37463,5223
4510 NW 14TH PLACE,120010017022013,12001001702,001702,5622,38289,1352,40794,4560
NW 82ND BLVD,NA,NA,NA,NA,NA,NA,NA,NA
1930 NW 7TH LN,120010010004024,12001001000,001000,5596,16646,783,37463,5223
2411 NW 58TH AVE,120010018033022,12001001803,001803,5457,28901,1280,30587,4622
CORNER NW 4 ST/13 AVE,NA,NA,NA,NA,NA,NA,NA,NA
1238  NW 18TH TERRACE,120010010001006,12001001000,001000,5596,16646,783,37463,5223
1435 NW 7TH AVE,120010010004013,12001001000,001000,5596,16646,783,37463,5223
4000 NEWBERRY RD,120010016031030,12001001603,001603,1467,17042,213,24036,1311
2491 BIRNAM WOODS WAY,120010012021010,12001001202,001202,7309,33838,1572,39611,6253
2203 NW 21 AVE,120010011003014,12001001100,001100,7143,40000,1752,39743,5676
1626 SW 14TH ST,120010008091004,12001000809,000809,1231,24085,125,24212,1159
902 SOUTHEAST DEPOT AVENUE,120010002006017,12001000200,000200,6671,7174,282,11678,6534
2204 NW 2ND AVE,120010010004032,12001001000,001000,5596,16646,783,37463,5223
2507 NORTHWEST 24 TERRACE,120010011004016,12001001100,001100,7143,40000,1752,39743,5676
NORTHWEST 43RD WAY,NA,NA,NA,NA,NA,NA,NA,NA
NW75ST@NW4BLVD,NA,NA,NA,NA,NA,NA,NA,NA
615 NE 1ST ST,120010005001007,12001000500,000500,5171,24516,872,30253,4560
600-614 NE 7TH ST,120010005005014,12001000500,000500,5171,24516,872,30253,4560
620 NW 36TH TER,120010016031011,12001001603,001603,1467,17042,213,24036,1311
4400 SW 20TH AVE,120010015201005,12001001520,001520,2281,11997,151,10068,2238
1327 NW 7TH AVE,120010010004014,12001001000,001000,5596,16646,783,37463,5223
709 NW 22ND ST,120010010004026,12001001000,001000,5596,16646,783,37463,5223
3706 SOUTHWEST 6TH PLACE,120010016042025,12001001604,001604,8129,18544,918,20622,7700
1102 NW 4TH ST,120010003012027,12001000301,000301,4355,20845,615,19201,3871
314 NE 10TH STREET,120010005004020,12001000500,000500,5171,24516,872,30253,4560
2600 NW 45TH AVE GAINESVILLE,120010017022017,12001001702,001702,5622,38289,1352,40794,4560
902 N MAIN ST,120010003012056,12001000301,000301,4355,20845,615,19201,3871
201 NORTHWEST 12TH AVENUE,120010003012052,12001000301,000301,4355,20845,615,19201,3871
3626–3652 CLARK BUTLER BLVD,NA,NA,NA,NA,NA,NA,NA,NA
15-25 SOUTHWEST 40TH TERRACE,NA,NA,NA,NA,NA,NA,NA,NA
NW 6TH ST & NW 8TH AVE,NA,NA,NA,NA,NA,NA,NA,NA
622 NW 3RD AVE,120010002001026,12001000200,000200,6671,7174,282,11678,6534
1041 S MAIN ST,120010007002012,12001000700,000700,6395,19240,1305,19984,5284
1938-1940 NW 2ND AVE,120010010004039,12001001000,001000,5596,16646,783,37463,5223
2203 NW 21 AVE,120010011003014,12001001100,001100,7143,40000,1752,39743,5676
2305 NW 13TH ST,120010010005002,12001001000,001000,5596,16646,783,37463,5223
NW 29TH ST & NW 34TH ST,NA,NA,NA,NA,NA,NA,NA,NA
3900-3972 NW 43RD ST,120010018113032,12001001811,001811,6890,38813,1697,46540,5761
1219 W UNIVERSITY AVENUE GAINESVILLE FLORIDA,120010002005000,12001000200,000200,6671,7174,282,11678,6534
324-598 NORTHWEST 23RD AVENUE,120010003021018,12001000302,000302,2343,24292,414,25223,1967
736 NW 30TH AVE,120010003023041,12001000302,000302,2343,24292,414,25223,1967
8620 NW 13 ST #115,120010018032002,12001001803,001803,5457,28901,1280,30587,4622
1256 NW 3RD AVE,120010002003014,12001000200,000200,6671,7174,282,11678,6534
8620 NW 13TH ST   LOT 217,120010018032002,12001001803,001803,5457,28901,1280,30587,4622
2823 NW  21 TERR,120010011003000,12001001100,001100,7143,40000,1752,39743,5676
3721 NW 23RD PL,120010011002000,12001001100,001100,7143,40000,1752,39743,5676
9677 NW US 441,NA,NA,NA,NA,NA,NA,NA,NA
1020 NW 39TH AVE,120010003022021,12001000302,000302,2343,24292,414,25223,1967
1011 SE 2ND AVE,120010007001022,12001000700,000700,6395,19240,1305,19984,5284
3850 WEST NEWBERRY ROAD,120010016031030,12001001603,001603,1467,17042,213,24036,1311
801 SW 29 PLACE,120010008083001,12001000808,000808,3305,19755,460,19644,2930
5342 NW 34TH TER,120010018034018,12001001803,001803,5457,28901,1280,30587,4622
300-398 GARDEN STREET,120010005001013,12001000500,000500,5171,24516,872,30253,4560
SW 3RD AVE,NA,NA,NA,NA,NA,NA,NA,NA
3424-3498 SOUTHEAST 15TH STREET,120010007002077,12001000700,000700,6395,19240,1305,19984,5284
2448 ARDEN DRIVE,120010012021010,12001001202,001202,7309,33838,1572,39611,6253
532 N MAIN STREET,120010005001010,12001000500,000500,5171,24516,872,30253,4560
1011 NORTHWEST 10TH AVENUE,120010003012044,12001000301,000301,4355,20845,615,19201,3871
3330 NW 45 AVENUE,120010012024008,12001001202,001202,7309,33838,1572,39611,6253
2203 SE 50TH ST,120010014002020,12001001400,001400,4619,18365,627,14832,3900
2469-2515 NORTHWEST 41 STREET,120010011002012,12001001100,001100,7143,40000,1752,39743,5676
711 NW 16TH AVENUE,120010003012007,12001000301,000301,4355,20845,615,19201,3871
576 NE 23 AVE,120010004004018,12001000400,000400,6655,23015,1246,18756,4711
111 NW 34TH ST,120010010002018,12001001000,001000,5596,16646,783,37463,5223
3019 NW 2ND AVE,120010010002012,12001001000,001000,5596,16646,783,37463,5223
201 E UNIVERSITY AVE,120010005001046,12001000500,000500,5171,24516,872,30253,4560
WALDO RD GREENWAY-DEPOT AVENUE RAIL-TRAIL,NA,NA,NA,NA,NA,NA,NA,NA
"3700 WINDMEADOWS BLVD
GAINESVILLE FL 32608
UNITED STATES",120010015213000,12001001521,001521,4229,17670,527,16308,3882
2015-2021 NW 43RD PL,120010012031016,12001001203,001203,3542,33315,673,28551,2975
825 NW 36 DRIVE,120010017021038,12001001702,001702,5622,38289,1352,40794,4560
1–99 NW 1ST AVE,NA,NA,NA,NA,NA,NA,NA,NA
1220 NW 7TH ST GAINESVILLE,120010003012029,12001000301,000301,4355,20845,615,19201,3871
313 NW 33RD AVE,120010003021006,12001000302,000302,2343,24292,414,25223,1967
15 NW 28TH TER,120010010002002,12001001000,001000,5596,16646,783,37463,5223
212 NW 15TH AVENUE,120010003012003,12001000301,000301,4355,20845,615,19201,3871
1329 NORTHWEST 6TH STREET,120010003012027,12001000301,000301,4355,20845,615,19201,3871
1126 NW 8TH ST,120010003012039,12001000301,000301,4355,20845,615,19201,3871
228 NW 15TH AVENUE,120010003012003,12001000301,000301,4355,20845,615,19201,3871
209 NORTHWEST 48TH BOULEVARD,120010016041015,12001001604,001604,8129,18544,918,20622,7700
306-310 NW 8TH ST,120010002003025,12001000200,000200,6671,7174,282,11678,6534
3415-3423 NORTHWEST 10TH AVENUE,120010017021036,12001001702,001702,5622,38289,1352,40794,4560
300 NW 34TH TERR GAINESVILLE,120010016031022,12001001603,001603,1467,17042,213,24036,1311
817 NW 16TH AVE,120010003012008,12001000301,000301,4355,20845,615,19201,3871
523 NW 3RD AVE,120010002001023,12001000200,000200,6671,7174,282,11678,6534
4023 SW 28TH TERR,120010015171000,12001001517,001517,4969,17613,455,15437,4546
1217 NE 7TH PL,120010005004000,12001000500,000500,5171,24516,872,30253,4560
1824 NW 5TH AVENUE,120010010004020,12001001000,001000,5596,16646,783,37463,5223
NEAR 11898 000 000,NA,NA,NA,NA,NA,NA,NA,NA
307 SW 16TH AVE,120010008082000,12001000808,000808,3305,19755,460,19644,2930
NE 16TH AVENUE,NA,NA,NA,NA,NA,NA,NA,NA
507 NW 19TH ST,120010010004022,12001001000,001000,5596,16646,783,37463,5223
1429 NW 7TH AVE,120010010004013,12001001000,001000,5596,16646,783,37463,5223
805 NW 98TH ST,120010022043016,12001002204,002204,11308,41581,2960,39366,8593
1100 NE 3RD AVE,120010005004018,12001000500,000500,5171,24516,872,30253,4560
SW 63RD BLVD & SW ARCHER RD,NA,NA,NA,NA,NA,NA,NA,NA
NE 28  COURT,NA,NA,NA,NA,NA,NA,NA,NA
745-781 SOUTHWEST 16TH AVENUE,120010008082003,12001000808,000808,3305,19755,460,19644,2930
1237 NORTHWEST 4TH AVENUE,120010002003014,12001000200,000200,6671,7174,282,11678,6534
"3924 SW 26TH DR
GAINESVILLE FL 32608
UNITED STATES",120010015162003,12001001516,001516,2134,14117,217,14493,1988
2832 NORTHEAST 10TH STREET,120010004004010,12001000400,000400,6655,23015,1246,18756,4711
527 NE 12TH ST,120010005004002,12001000500,000500,5171,24516,872,30253,4560
1301-1325 W UNIVERSITY AVE,120010009022000,12001000902,000902,6733,2646,14,2155,6733
810-812 NW 6TH ST,120010003012063,12001000301,000301,4355,20845,615,19201,3871
3247-3399 SOUTHWEST 2ND AVENUE,120010009011006,12001000901,000901,4855,3003,138,3506,4704
2699 NW 16TH AVE,120010010005003,12001001000,001000,5596,16646,783,37463,5223
3035 NW 6TH STREET,120010003021006,12001000302,000302,2343,24292,414,25223,1967
101–199 SW 2ND ST,120010005001094,12001000500,000500,5171,24516,872,30253,4560
734 NW 8TH PLACE,120010003012049,12001000301,000301,4355,20845,615,19201,3871
1505 NW 51ST TER,120010017022006,12001001702,001702,5622,38289,1352,40794,4560
1325-1399 NW 2ND ST,120010003012021,12001000301,000301,4355,20845,615,19201,3871
1540 NE WALDO RD,120010005002000,12001000500,000500,5171,24516,872,30253,4560
4 SW 23RD ST,120010010002032,12001001000,001000,5596,16646,783,37463,5223
710 NORTHWEST 4TH STREET,120010002001002,12001000200,000200,6671,7174,282,11678,6534
100 SW 2ND AVE,120010005001094,12001000500,000500,5171,24516,872,30253,4560
2740-2880 NW 31ST AVE,120010012022011,12001001202,001202,7309,33838,1572,39611,6253
3010 SW 23RD TERRACE,120010010002033,12001001000,001000,5596,16646,783,37463,5223
2039 NW 3RD AVE,120010010004042,12001001000,001000,5596,16646,783,37463,5223
2254-2260 NORTHWEST 11TH AVENUE,120010010005012,12001001000,001000,5596,16646,783,37463,5223
SOUTHWEST 6TH STREET,NA,NA,NA,NA,NA,NA,NA,NA
NW 5TH AVE AND NW 13TH ST,NA,NA,NA,NA,NA,NA,NA,NA
SANTA FE COLLEGE-BLOUNT CENTER,NA,NA,NA,NA,NA,NA,NA,NA
304 NW 19TH AVE,120010003011020,12001000301,000301,4355,20845,615,19201,3871
1614 NE 9TH ST,120010004003008,12001000400,000400,6655,23015,1246,18756,4711
NW 23RD AVENUE & 12TH STREET,NA,NA,NA,NA,NA,NA,NA,NA
SE 1 AVE,NA,NA,NA,NA,NA,NA,NA,NA
4329 NW 27TH TERRACE,120010012021018,12001001202,001202,7309,33838,1572,39611,6253
3782 SOUTH MAIN STREET,120010008083001,12001000808,000808,3305,19755,460,19644,2930
1305 NE 12TH TERRACE,120010005002012,12001000500,000500,5171,24516,872,30253,4560
322 NW 8TH ST,120010002003024,12001000200,000200,6671,7174,282,11678,6534
404-406 NW 14TH ST,120010010003001,12001001000,001000,5596,16646,783,37463,5223
111 NW 28 TERRACE,120010010002002,12001001000,001000,5596,16646,783,37463,5223
1020 NORTHWEST 15 STREET,120010010001026,12001001000,001000,5596,16646,783,37463,5223
1852 NORTHWEST 34TH PLACE,120010012031023,12001001203,001203,3542,33315,673,28551,2975
4810 NORTHWEST 8TH AVENUE,120010017022017,12001001702,001702,5622,38289,1352,40794,4560
111 NW 15 TERRACE,120010010003013,12001001000,001000,5596,16646,783,37463,5223
625 NW 19TH STREET,120010010004022,12001001000,001000,5596,16646,783,37463,5223
220 NW 15 TERRACE,120010010003012,12001001000,001000,5596,16646,783,37463,5223
1–99 NW 1ST AVE,NA,NA,NA,NA,NA,NA,NA,NA
809 NW 40TH AVE,120010003022020,12001000302,000302,2343,24292,414,25223,1967
1905 NW 5TH AVENUE,120010010004037,12001001000,001000,5596,16646,783,37463,5223
3880 SW 20TH AVE,120010015201007,12001001520,001520,2281,11997,151,10068,2238
7054 NW 52ND TERRACE,120010018131020,12001001813,001813,3584,51856,1037,41584,2735
100 NW 32ND ST,120010010002001,12001001000,001000,5596,16646,783,37463,5223
2201 NW 19 LN,120010011003015,12001001100,001100,7143,40000,1752,39743,5676
1705 NORTHWEST 23RD STREET,120010011003016,12001001100,001100,7143,40000,1752,39743,5676
2220 NORTHWEST 3RD PLACE,120010010004032,12001001000,001000,5596,16646,783,37463,5223
1005 NE 12TH AVE,120010005002020,12001000500,000500,5171,24516,872,30253,4560
922 NW 11TH AVE,120010003012039,12001000301,000301,4355,20845,615,19201,3871
8243 NW 54TH TER,120010018131004,12001001813,001813,3584,51856,1037,41584,2735
2105 NW 3 PL,120010010004044,12001001000,001000,5596,16646,783,37463,5223
1415 NE 7TH STREET,120010005003003,12001000500,000500,5171,24516,872,30253,4560
PARK AVENUE WOMEN'S CENTER,NA,NA,NA,NA,NA,NA,NA,NA
2100 NW 5TH AVE,120010010004026,12001001000,001000,5596,16646,783,37463,5223
413 NW 35TH TERR,120010016031026,12001001603,001603,1467,17042,213,24036,1311
600 NORTHEAST 11TH STREET,120010005004013,12001000500,000500,5171,24516,872,30253,4560
1506 NW 7TH AVE,120010010004011,12001001000,001000,5596,16646,783,37463,5223
1208 SW 1 AVE,120010002005000,12001000200,000200,6671,7174,282,11678,6534
1040-1098 NE 5 TERRACE,120010005003015,12001000500,000500,5171,24516,872,30253,4560
2001 NW 27TH TER,120010011004018,12001001100,001100,7143,40000,1752,39743,5676
107 SE 14TH PL,120010007002058,12001000700,000700,6395,19240,1305,19984,5284
2701 SW 23RD TERRACE,120010015142001,12001001514,001514,1561,22958,158,26330,1481
10 SOUTHWEST 36TH STREET,120010016043004,12001001604,001604,8129,18544,918,20622,7700
818 W UNIVERSITY AVE,120010002004009,12001000200,000200,6671,7174,282,11678,6534
1989-1999 SOUTHWEST 38TH TERRACE,120010015201010,12001001520,001520,2281,11997,151,10068,2238
301 NW 8TH ST,120010002001025,12001000200,000200,6671,7174,282,11678,6534
4020 NORTHWEST 19TH PLACE,120010017021000,12001001702,001702,5622,38289,1352,40794,4560
COUNTY ROAD 346A,NA,NA,NA,NA,NA,NA,NA,NA
39TH AND 13TH INTERSECTION(DEBRIS); AND THE ROAD SW 43RD STREET(POTHOLES),120010007002052,12001000700,000700,6395,19240,1305,19984,5284
212 SW 3RD AVE,120010002002011,12001000200,000200,6671,7174,282,11678,6534
4628 NW 46TH CT,120010018113030,12001001811,001811,6890,38813,1697,46540,5761
1831 NW 10TH AVE,120010010001017,12001001000,001000,5596,16646,783,37463,5223
1938 FL-26,120010010004040,12001001000,001000,5596,16646,783,37463,5223
19 WEST UNIVERSITY AVENUE,120010005001060,12001000500,000500,5171,24516,872,30253,4560
2337 SW ARCHER RD,120010015142000,12001001514,001514,1561,22958,158,26330,1481
"3630 SW 47TH AVE
GAINESVILLE FL 32608
UNITED STATES",120010022191011,12001002219,002219,6838,25614,1400,21515,5055
410 NW 2ND ST,120010002001010,12001000200,000200,6671,7174,282,11678,6534
1622 NORTHWEST 52ND TERRACE,120010017022003,12001001702,001702,5622,38289,1352,40794,4560
1206 WEST UNIVERSITY AVENUE,120010002004007,12001000200,000200,6671,7174,282,11678,6534
1736 NW 1ST AVENUE,120010010003028,12001001000,001000,5596,16646,783,37463,5223
105 NORTHWEST 32ND STREET,120010010002012,12001001000,001000,5596,16646,783,37463,5223
2006-2120 NW 23RD ST,120010011004025,12001001100,001100,7143,40000,1752,39743,5676
2006 NW 17 LANE,120010011003023,12001001100,001100,7143,40000,1752,39743,5676
1217 SOUTHWEST 11TH AVENUE,120010008061010,12001000806,000806,2414,17448,263,19195,2268
1105 NORTHWEST 40 DRIVE,120010017021032,12001001702,001702,5622,38289,1352,40794,4560
46 SW 25TH ST,120010010002021,12001001000,001000,5596,16646,783,37463,5223
404 SOUTH MAIN STREET,120010005001089,12001000500,000500,5171,24516,872,30253,4560
1322 NORTHEAST 19TH PLACE,120010004002015,12001000400,000400,6655,23015,1246,18756,4711
2564 NW 13TH ST,120010012032004,12001001203,001203,3542,33315,673,28551,2975
2298 NW 13TH ST,120010022043021,12001002204,002204,11308,41581,2960,39366,8593
NW 17TH ST & NW 1ST AVE,NA,NA,NA,NA,NA,NA,NA,NA
410 NORTHEAST 10TH STREET,120010005004020,12001000500,000500,5171,24516,872,30253,4560
218 NW 35TH TERRACE,120010016031027,12001001603,001603,1467,17042,213,24036,1311
2828 NE 16TH TERRACE,120010004001014,12001000400,000400,6655,23015,1246,18756,4711
102-110 SE 25TH TERRACE,NA,NA,NA,NA,NA,NA,NA,NA
214 W UNIVERSITY AVE,120010005001052,12001000500,000500,5171,24516,872,30253,4560
2224 NW 6TH PLACE,120010010004032,12001001000,001000,5596,16646,783,37463,5223
728 NW 9TH AVE,120010003012057,12001000301,000301,4355,20845,615,19201,3871
810-816 NW 16TH AVE,120010003011036,12001000301,000301,4355,20845,615,19201,3871
10 NW 18TH TERRACE,120010010003030,12001001000,001000,5596,16646,783,37463,5223
3547 NE WALDO RD,120010019022043,12001001902,001902,3192,13594,360,13393,3006
1615 NW 7TH AVE,120010010004012,12001001000,001000,5596,16646,783,37463,5223
2115 NW 7TH LN,120010010004026,12001001000,001000,5596,16646,783,37463,5223
900 BLOCK NW 8TH AVE,120010003012048,12001000301,000301,4355,20845,615,19201,3871
4204 NORTHWEST 19TH STREET,120010012031020,12001001203,001203,3542,33315,673,28551,2975
"2027–2131 SW 43RD ST
GAINESVILLE FL 32607
UNITED STATES",120010015211000,12001001521,001521,4229,17670,527,16308,3882
NORTHEAST 12TH AVENUE,NA,NA,NA,NA,NA,NA,NA,NA
907 NORTHWEST 13TH AVENUE,120010003012032,12001000301,000301,4355,20845,615,19201,3871
400-498 SOUTHWEST 6TH STREET,120010002002014,12001000200,000200,6671,7174,282,11678,6534
OFF OF SE 15TH STREET ONTO TO SE 8TH AVENUE UP TO SE 20TH STREET,NA,NA,NA,NA,NA,NA,NA,NA
1800–1828 NE 16TH WAY,120010004002018,12001000400,000400,6655,23015,1246,18756,4711
2001-2003 NORTHWEST 45TH AVENUE,120010012031006,12001001203,001203,3542,33315,673,28551,2975
3119 SW 26TH TERRACE APT # A,120010015153000,12001001515,001515,5207,16140,378,14940,4993
1333 NW 5TH AVE,120010010003000,12001001000,001000,5596,16646,783,37463,5223
7500 NW 75TH RD,NA,NA,NA,NA,NA,NA,NA,NA
2826 NW 48TH AVE,120010012021000,12001001202,001202,7309,33838,1572,39611,6253
926 W UNIVERSITY AVE,120010002004004,12001000200,000200,6671,7174,282,11678,6534
1027 NW 40TH DRIVE,120010017021032,12001001702,001702,5622,38289,1352,40794,4560
4706-4716 NW 42 ST,120010012011012,12001001201,001201,3421,32714,964,32910,2912
1103 ME 21ST CT,120010006001007,12001000600,000600,5195,20582,987,13268,3835
RAIL TO TRAIL BIKE PATH,NA,NA,NA,NA,NA,NA,NA,NA
619 S MAIN ST,120010005001108,12001000500,000500,5171,24516,872,30253,4560
200 EAST UNIVERSITY AVENUE,120010005001023,12001000500,000500,5171,24516,872,30253,4560
1845 NW 5TH AVENUE,120010010003003,12001001000,001000,5596,16646,783,37463,5223
3515 NORTHWEST 21ST STREET,120010012031043,12001001203,001203,3542,33315,673,28551,2975
6TH STREET RAIL-TRAIL,NA,NA,NA,NA,NA,NA,NA,NA
700 SOUTHWEST 62ND BOULEVARD,120010016044006,12001001604,001604,8129,18544,918,20622,7700
8247 NW 53RD ST,NA,NA,NA,NA,NA,NA,NA,NA
1202 SW 1 AVE,120010002005000,12001000200,000200,6671,7174,282,11678,6534
487-599 NW 31ST LN,120010003021008,12001000302,000302,2343,24292,414,25223,1967
2298 NORTHWEST 20TH COURT,120010011003014,12001001100,001100,7143,40000,1752,39743,5676
1589-1699 NW 29TH RD,120010012032000,12001001203,001203,3542,33315,673,28551,2975
2927 NW 41 PL,120010012024004,12001001202,001202,7309,33838,1572,39611,6253
719 SW 5TH AVE,120010002006012,12001000200,000200,6671,7174,282,11678,6534
3994-4136 NW 24TH BLVD,120010012021010,12001001202,001202,7309,33838,1572,39611,6253
NW 1ST AVENUE AT NW 3RD STREET,NA,NA,NA,NA,NA,NA,NA,NA
6803 NW 30TH TERRACE,120010017011006,12001001701,001701,5495,24614,1173,29613,4703
2841 SW 13TH ST,120010008083001,12001000808,000808,3305,19755,460,19644,2930
